,id,imdbid,imdb_link,rank,title,genre,description,rating,year,thumbnail
31,top32,tt15398776,https://www.imdb.com/title/tt15398776,32,Oppenheimer,"['Biography', 'Drama', 'History']","The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",8.6,2023,"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
32,top33,tt0056058,https://www.imdb.com/title/tt0056058,33,Harakiri,"['Action', 'Drama', 'Mystery']","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",8.6,1962,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY67_CR2,0,45,67_AL_.jpg"
33,top34,tt0088763,https://www.imdb.com/title/tt0088763,34,Back to the Future,"['Adventure', 'Comedy', 'Sci-Fi']","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,1985,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
34,top35,tt0253474,https://www.imdb.com/title/tt0253474,35,The Pianist,"['Biography', 'Drama', 'Music']",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,8.5,2002,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR2,0,45,67_AL_.jpg"
35,top36,tt0054215,https://www.imdb.com/title/tt0054215,36,Psycho,"['Horror', 'Mystery', 'Thriller']","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",8.5,1960,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
36,top37,tt6751668,https://www.imdb.com/title/tt6751668,37,Parasite,"['Drama', 'Thriller']",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.5,2019,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
37,top38,tt0172495,https://www.imdb.com/title/tt0172495,38,Gladiator,"['Action', 'Adventure', 'Drama']",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1994,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
38,top39,tt0110357,https://www.imdb.com/title/tt0110357,39,The Lion King,"['Animation', 'Adventure', 'Drama']","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,1994,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UY67_CR0,0,45,67_AL_.jpg"
39,top40,tt0110413,https://www.imdb.com/title/tt0110413,40,Léon: The Professional,"['Action', 'Crime', 'Drama']","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",8.5,1994,"https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
40,top41,tt0120586,https://www.imdb.com/title/tt0120586,41,American History X,"['Crime', 'Drama']",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,8.5,2000,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY67_CR0,0,45,67_AL_.jpg"
41,top42,tt0407887,https://www.imdb.com/title/tt0407887,42,The Departed,"['Crime', 'Drama', 'Thriller']",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,8.5,1998,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UY67_CR0,0,45,67_AL_.jpg"
42,top43,tt2582802,https://www.imdb.com/title/tt2582802,43,Whiplash,"['Drama', 'Music']",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,8.5,2014,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
43,top44,tt0482571,https://www.imdb.com/title/tt0482571,44,The Prestige,"['Drama', 'Mystery', 'Sci-Fi']","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,2006,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UY67_CR0,0,45,67_AL_.jpg"
